2021-09-16 10:14:58 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:14:58 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:15:06 INFO  Starter:23 - Start with parameters: tcp://localhost:61616, persistent true, CLIENT_ACKNOWLEDGE
2021-09-16 10:15:07 INFO  Producer:29 - Producer start work
2021-09-16 10:15:25 INFO  Producer:35 - Producer finish work 18037ms
2021-09-16 10:15:25 INFO  Consumer:29 - Consumer start work
2021-09-16 10:15:25 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:15:25 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:15:32 INFO  Starter:23 - Start with parameters: tcp://localhost:61616, persistent true, DUPS_OK_ACKNOWLEDGE
2021-09-16 10:15:33 INFO  Producer:29 - Producer start work
2021-09-16 10:15:52 INFO  Producer:35 - Producer finish work 19168ms
2021-09-16 10:15:52 INFO  Consumer:29 - Consumer start work
2021-09-16 10:15:52 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:15:52 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:16:01 INFO  Starter:23 - Start with parameters: tcp://localhost:61616, persistent true, SESSION_TRANSACTED
2021-09-16 10:16:02 INFO  Producer:29 - Producer start work
2021-09-16 10:16:02 INFO  Producer:35 - Producer finish work 315ms
2021-09-16 10:16:03 INFO  Consumer:29 - Consumer start work
2021-09-16 10:16:03 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:16:03 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
